Solver,Model,Name, NumTargetPlates, SizeTargetPlates, NumSourcePlates, NumCombinations,SolutionTime,IsTimeout,TotalTime, NbSwaps
gurobi_config,III_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_2.dzn,2,2,2,4,0.27,false,0.27,1
gurobi_config,III_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_2.dzn,2,2,2,4,0.27,false,0.27,1
gurobi_config,I_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_3.dzn,2,2,2,4,0.25,false,0.25,1
gurobi_config,I_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_3.dzn,2,2,2,4,0.27,false,0.27,1
gurobi_config,II_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_3.dzn,2,2,2,4,0.29,false,0.29,1
gurobi_config,II_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_3.dzn,2,2,2,4,0.26,false,0.26,1
gurobi_config,III_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_3.dzn,2,2,2,4,0.27,false,0.27,1
gurobi_config,III_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_3.dzn,2,2,2,4,0.29,false,0.29,1
gurobi_config,I_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_4.dzn,2,2,2,4,0.25,false,0.25,1
gurobi_config,I_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_4.dzn,2,2,2,4,0.27,false,0.27,1
gurobi_config,II_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_4.dzn,2,2,2,4,0.25,false,0.25,1
gurobi_config,II_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_4.dzn,2,2,2,4,0.27,false,0.27,1
gurobi_config,III_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_4.dzn,2,2,2,4,0.25,false,0.25,1
gurobi_config,III_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_4.dzn,2,2,2,4,0.28,false,0.28,1
gurobi_config,I_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_5.dzn,2,2,2,4,0.25,false,0.25,1
gurobi_config,I_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_5.dzn,2,2,2,4,0.27,false,0.27,1
gurobi_config,II_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_5.dzn,2,2,2,4,0.25,false,0.25,1
gurobi_config,II_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_5.dzn,2,2,2,4,0.27,false,0.27,1
gurobi_config,III_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_5.dzn,2,2,2,4,0.25,false,0.25,1
gurobi_config,III_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_5.dzn,2,2,2,4,0.28,false,0.28,1
gurobi_config,I_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_6.dzn,2,2,2,4,0.25,false,0.25,1
gurobi_config,I_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_6.dzn,2,2,2,4,0.28,false,0.28,1
gurobi_config,II_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_6.dzn,2,2,2,4,0.25,false,0.25,1
gurobi_config,II_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_6.dzn,2,2,2,4,0.27,false,0.27,1
gurobi_config,III_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_6.dzn,2,2,2,4,0.25,false,0.25,1
gurobi_config,III_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_6.dzn,2,2,2,4,0.28,false,0.28,1
gurobi_config,I_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_7.dzn,2,2,2,4,0.25,false,0.25,1
gurobi_config,I_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_7.dzn,2,2,2,4,0.27,false,0.27,1
gurobi_config,II_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_7.dzn,2,2,2,4,0.25,false,0.25,1
gurobi_config,II_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_7.dzn,2,2,2,4,0.27,false,0.27,1
gurobi_config,III_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_7.dzn,2,2,2,4,0.25,false,0.25,1
gurobi_config,III_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_7.dzn,2,2,2,4,0.28,false,0.28,1
gurobi_config,I_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_8.dzn,2,2,2,4,0.25,false,0.25,1
gurobi_config,I_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_8.dzn,2,2,2,4,0.28,false,0.28,1
gurobi_config,II_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_8.dzn,2,2,2,4,0.25,false,0.25,1
gurobi_config,II_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_8.dzn,2,2,2,4,0.28,false,0.28,1
gurobi_config,III_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_8.dzn,2,2,2,4,0.25,false,0.25,1
gurobi_config,III_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_8.dzn,2,2,2,4,0.28,false,0.28,1
gurobi_config,I_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_9.dzn,2,2,2,4,0.25,false,0.25,1
gurobi_config,I_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_9.dzn,2,2,2,4,0.27,false,0.27,1
gurobi_config,II_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_9.dzn,2,2,2,4,0.25,false,0.25,1
gurobi_config,II_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_9.dzn,2,2,2,4,0.27,false,0.27,1
gurobi_config,III_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_9.dzn,2,2,2,4,0.25,false,0.25,1
gurobi_config,III_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s2_9.dzn,2,2,2,4,0.27,false,0.27,1
gurobi_config,I_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s5_0.dzn,2,2,5,4,0.25,false,0.25,3
gurobi_config,I_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s5_0.dzn,2,2,5,4,0.30,false,0.30,3
gurobi_config,II_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s5_0.dzn,2,2,5,4,0.27,false,0.27,3
gurobi_config,II_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s5_0.dzn,2,2,5,4,0.31,false,0.31,3
gurobi_config,III_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s5_0.dzn,2,2,5,4,0.27,false,0.27,3
gurobi_config,III_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s5_0.dzn,2,2,5,4,0.28,false,0.28,3
gurobi_config,I_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s5_1.dzn,2,2,5,4,0.27,false,0.27,4
gurobi_config,I_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s5_1.dzn,2,2,5,4,0.31,false,0.31,4
gurobi_config,II_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s5_1.dzn,2,2,5,4,0.27,false,0.27,4
gurobi_config,II_B,multiplate_dzn_files_2_only/multiplate_t2_w2_s5_1.dzn,2,2,5,4,0.32,false,0.32,4
gurobi_config,III_A,multiplate_dzn_files_2_only/multiplate_t2_w2_s5_1.dzn,2,2,5,4,0.27,false,0.27,4
